Series,Contract No.,BuySell,Contract,Price,Premium Amount,Brokerage Fee,VAT,WH,Charge Amount   Date  
S50H19,BU-00523,B,13,1089.90,0.00,222.30,15.56,0.00,237.86
S50H19,BU-00524,B,17,1089.00,0.00,290.70,20.35,0.00,311.05
S50H19,BU-00525,B,18,1089.00,0.00,307.80,21.55,0.00,329.35
S50H19,BU-00526,B,2,1089.00,0.00,34.20,2.39,0.00,36.59
S50H19,BU-00527,B,2,1089.00,0.00,34.20,2.39,0.00,36.59
S50H19,BU-00528,B,1,1089.00,0.00,17.10,1.20,0.00,18.30
S50H19,BU-00529,B,10,1089.00,0.00,171.00,11.97,0.00,182.97
S50H19,SE-00530,S,2,1088.70,0.00,34.20,2.39,0.00,36.59
S50H19,SE-00531,S,1,1088.70,0.00,17.10,1.20,0.00,18.30
S50H19,SE-00532,S,2,1088.70,0.00,34.20,2.39,0.00,36.59
S50H19,SE-00533,S,2,1088.70,0.00,34.20,2.39,0.00,36.59
S50H19,SE-00534,S,12,1088.70,0.00,205.20,14.36,0.00,219.56
S50H19,SE-00535,S,2,1088.70,0.00,34.20,2.39,0.00,36.59
S50H19,SE-00536,S,1,1088.70,0.00,17.10,1.20,0.00,18.30
S50H19,SE-00537,S,1,1088.70,0.00,17.10,1.20,0.00,18.30
S50H19,SE-00538,S,1,1088.70,0.00,17.10,1.20,0.00,18.30
S50H19,SE-00539,S,1,1088.70,0.00,17.10,1.20,0.00,18.30
S50H19,SE-00540,S,1,1088.70,0.00,17.10,1.20,0.00,18.30
S50H19,SE-00541,S,5,1088.70,0.00,85.50,5.99,0.00,91.49
S50H19,SE-00542,S,1,1088.70,0.00,17.10,1.20,0.00,18.30
S50H19,SE-00543,S,2,1088.70,0.00,34.20,2.39,0.00,36.59
S50H19,SE-00544,S,7,1088.30,0.00,119.70,8.38,0.00,128.08
S50H19,SE-00545,S,3,1088.30,0.00,51.30,3.59,0.00,54.89
S50H19,SE-00546,S,4,1088.30,0.00,68.40,4.79,0.00,73.19
S50H19,SE-00547,S,2,1088.30,0.00,34.20,2.39,0.00,36.59
S50H19,SH-00548,S,1,1089.00,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00549,S,2,1089.00,0.00,34.20,2.39,0.00,36.59
S50H19,SH-00550,S,20,1089.00,0.00,342.00,23.94,0.00,365.94
S50H19,SH-00551,S,1,1089.00,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00552,S,1,1089.00,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00553,S,6,1089.00,0.00,102.60,7.18,0.00,109.78
S50H19,SH-00554,S,1,1089.00,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00555,S,5,1089.00,0.00,85.50,5.99,0.00,91.49
S50H19,SH-00556,S,2,1089.00,0.00,34.20,2.39,0.00,36.59
