Series,Contract No.,BuySell,Contract,Price,Premium Amount,Brokerage Fee,VAT,WH,Charge Amount   Date   
S50Z18,BH-00557,B,5,1080.30,0.00,85.50,5.99,0.00,91.49
S50Z18,BH-00558,B,1,1078.90,0.00,17.10,1.20,0.00,18.30
S50Z18,BH-00559,B,4,1078.90,0.00,68.40,4.79,0.00,73.19
S50Z18,BH-00560,B,5,1073.50,0.00,85.50,5.97,0.00,91.47   20112018
S50Z18,BU-00770,B,5,1068.90,0.00,85.50,5.99,0.00,91.49
S50Z18,SE-00771,S,5,1070.10,0.00,85.50,5.99,0.00,91.49
S50Z18,BU-00772,B,9,1070.20,0.00,153.90,10.77,0.00,164.67
S50Z18,BU-00773,B,1,1070.20,0.00,17.10,1.20,0.00,18.30
S50Z18,BU-00774,B,1,1070.20,0.00,17.10,1.20,0.00,18.30
S50Z18,BU-00775,B,4,1070.20,0.00,68.40,4.79,0.00,73.19
S50Z18,BU-00776,B,1,1070.20,0.00,17.10,1.20,0.00,18.30
S50Z18,BU-00777,B,1,1070.20,0.00,17.10,1.20,0.00,18.30
S50Z18,BU-00778,B,3,1070.20,0.00,51.30,3.59,0.00,54.89
S50Z18,SE-00779,S,1,1069.20,0.00,17.10,1.20,0.00,18.30
S50Z18,SE-00780,S,10,1069.20,0.00,171.00,11.97,0.00,182.97
S50Z18,SE-00781,S,1,1069.20,0.00,17.10,1.20,0.00,18.30
S50Z18,SE-00782,S,2,1069.20,0.00,34.20,2.39,0.00,36.59
S50Z18,SE-00783,S,1,1069.20,0.00,17.10,1.20,0.00,18.30
S50Z18,SE-00784,S,1,1069.20,0.00,17.10,1.20,0.00,18.30
S50Z18,SE-00785,S,1,1069.20,0.00,17.10,1.20,0.00,18.30
S50Z18,SE-00786,S,3,1069.20,0.00,51.30,3.59,0.00,54.89
S50Z18,SH-00787,S,20,1073.00,0.00,342.00,23.94,0.00,365.94
S50Z18,BH-00788,B,10,1072.40,0.00,171.00,11.97,0.00,182.97
S50Z18,BH-00789,B,5,1072.40,0.00,85.50,5.99,0.00,91.49
S50Z18,BH-00790,B,5,1072.40,0.00,85.50,5.99,0.00,91.49
S50Z18,SH-00791,S,5,1076.50,0.00,85.50,5.99,0.00,91.49
